date,open,high,low,close,volume
2022-09-29,129.97,130.0,127.74,128.68,2477946
2022-09-30,128.57,129.85,127.08,127.28,1754791
2022-10-03,128.67,131.6,127.94,130.83,3903517
2022-10-04,132.85,135.37,132.81,135.34,3516243
2022-10-05,133.69,135.69,132.8,134.81,1766434
2022-10-06,134.26,135.3,133.08,133.31,1379890
2022-10-07,132.01,132.2,129.39,130.15,2543225
2022-10-10,130.61,130.76,128.4,129.27,2507385
2022-10-11,128.79,130.44,127.73,128.69,1901521
2022-10-12,128.74,129.14,127.91,128.02,1911323
2022-10-13,125.46,131.7,124.91,131.1,3879774
2022-10-14,131.98,132.7,127.92,128.2,1985007
2022-10-17,130.31,131.68,130.31,130.99,2026955
2022-10-18,133.51,134.21,131.67,132.93,3571138
2022-10-19,132.01,132.78,130.37,131.36,1645746
2022-10-20,131.53,132.77,129.62,129.9,2236645
2022-10-21,129.89,133.06,129.28,132.87,2022313
2022-10-24,133.52,134.72,132.67,134.35,2192830
2022-10-25,134.36,137.05,134.27,136.93,2832151
2022-10-26,137.1,138.87,136.8,137.2,2262958
2022-10-27,138.0,139.15,137.17,137.33,2207593
2022-10-28,137.4,140.33,137.22,140.18,2735483
2022-10-31,139.44,140.45,139.11,139.56,3026355
2022-11-01,141.03,141.23,139.24,139.9,3143233
2022-11-02,139.64,143.55,136.49,136.49,3571319
2022-11-03,135.08,136.74,134.09,135.8,3147086
2022-11-04,137.7,138.84,135.74,137.91,2829715
2022-11-07,138.47,139.2,137.54,139.01,2993262
2022-11-08,139.36,141.13,138.34,139.84,3716468
2022-11-09,138.92,139.7,137.12,137.33,1935132
2022-11-10,142.07,144.88,141.75,144.69,5671620
2022-11-11,145.19,146.58,144.74,146.08,6142841
2022-11-14,145.56,146.62,144.41,144.49,2594372
2022-11-15,146.64,146.96,144.46,145.85,3121096
2022-11-16,145.14,145.32,144.01,144.3,3585444
2022-11-17,142.37,143.5,141.75,143.46,4911000
2022-11-18,144.91,145.16,143.34,144.53,3031208
2022-11-21,143.98,144.67,143.56,144.47,1652271
